質問	模範回答	カテゴリ
What is required to become a private pilot?	Must be at least 17 years old / Read, write, and speak English / Pass a written knowledge exam / Have adequate Ground and Flight training endorsements / Hold at least a third class medical	O. 航空法規
What are your privileges and limitations?	Privileges: Can demonstrate aircraft to buyer (salesperson/broker with 200hrs) / Can tow glider as PIC / Can act as PIC incidental to business (no passengers for compensation). Limitations: Cannot pay less than pro-rated share of expenses / Cannot fly for hire or compensation	O. 航空法規
How do you remain current as a Private Pilot?	Complete a Flight Review every 2 years. To carry passengers: within preceding 90 days, complete 3 takeoffs and landings in aircraft of same category, class, and type. Night: must be full stop, between 1hr after sunset and 1hr before sunrise. FAR 61.56 and 61.57	O. 航空法規
What documents are required aboard an aircraft?	Airworthiness Certification / Registration / Radio Certification (International Only) / Owner's Manual / Weight and Balance. FAR 91.203 and 91.9	O. 航空法規
Does the registration ever expire?	Yes, every 3 years the owner must reregister	O. 航空法規
What documents must the PIC always have with them?	Medical Certificate / Student/Private Pilot Certificate / Photo ID	O. 航空法規
What inspections are required for your aircraft?	AVIATE: A-Airworthiness Directives / V-VOR Check (every 30 days, IFR only) / I-Inspections: 100hr (for hire) and Annual (all aircraft) / A-Altimeter/Pitot Static (every 24 calendar months, IFR only) / T-Transponder (every 24 calendar months) / E-ELT (every 12 calendar months). FAR 91.409	O. 航空法規
Difference between 100 hour inspection and Annual inspection?	All aircraft must have Annual. Aircraft for hire must also have 100hr. Annual is more in-depth and requires more certified mechanic. Annual CAN replace 100hr, but 100hr CANNOT replace Annual.	O. 航空法規
What is an MEL?	Minimum Equipment List. Equipment that is allowed to be broken but the flight can still proceed.	O. 航空法規
What is a special flight permit?	Gives temporary airworthiness to aircraft without current airworthiness. Usually one day to a certain airport. Issued by FSDO (Flight Standards District Office), normally when going to see a mechanic.	O. 航空法規
Explain the three types of medicals	Third Class: Least extensive, every pilot must have at least this. Under 40: 60 months / Over 40: 24 calendar months. Second Class: Required for Commercial Pilots. First Class: Most extensive, required for ATPs.	N. 飛行生理学
What is hypoxia?	Not getting enough oxygen to the brain	N. 飛行生理学
What are the 4 types of hypoxia?	1. Hypoxic Hypoxia: not enough oxygen, high altitudes over 12,500ft (most common) / 2. Hypemic Hypoxia: enough oxygen but not enough good blood to carry it (anemia or CO poisoning) / 3. Stagnant Hypoxia: heart pump not working / 4. Histotoxic Hypoxia: oxygen available but cells cannot absorb it (being drunk)	N. 飛行生理学
Symptoms of hypoxia	Headache, dizziness, skin turning blue, euphoria	N. 飛行生理学
Explain hyperventilation	Overbreathing / breathing too rapidly. Breathing out CO2 too quickly. Treatment: breathe into a bag or calm yourself. Symptoms: headache, dizziness, skin turning blue, euphoria	N. 飛行生理学
Name and explain the 8 types of spatial disorientation	State of confusion, losing orientation to the horizon. 1. The Leans: illusion of turning opposite direction / 2. Coriolis: making quick head movement / 3. Graveyard Spin: recovering from spin with illusion of entering spin other direction / 4. Graveyard Spiral: turning illusion / 5. Inversion Illusion: climb to level flight / 6. Elevator Illusion: updraft illusion / 7. False Horizon: from city lights or clouds / 8. AutoKinesis: lights appear to move at night	N. 飛行生理学
What is standard temperature and pressure?	15 degrees Celsius / 29.92 inches of mercury	L. 気象理論
What are the 3 main layers of the atmosphere?	Troposphere / Tropopause / Stratosphere	L. 気象理論
The cause of all weather is a result of a:	Heat exchange - causes atmospheric circulation	L. 気象理論
Wind is the result of:	Changes or differences in pressure	L. 気象理論
Name and explain the 4 main types of fog	1. Radiation Fog: clear calm night, no wind, land area, stays stationary / 2. Advection Fog: warm moist air over cool surface, requires light breeze, sea fogs always advection / 3. Upslope Fog: light wind pushes moist air up hillside, covers large area / 4. Steam Fog: cold air moves over warm water, looks like wisps of smoke	L. 気象理論
Difference between stable and unstable air	Stable: calm, stratiform clouds, continuous precipitation, smooth air, poor to fair visibility. Unstable: turbulent, cumulus clouds, showery precipitation, good visibility, strong surface winds	L. 気象理論
What is the difference between an air mass and a front?	Air mass: large body of air with similar temperature and moisture properties. Front: transition zone between two air masses of different density, can be horizontal and vertical.	L. 気象理論
Name the 4 main types of fronts	Warm Front: leading edge of warm air replacing cold air / Cold Front: leading edge of cold air replacing warm air / Stationary Front: front that is not moving / Occluded Front: cold front catches up to a warm front	L. 気象理論
What causes turbulence?	Convective currents / Obstructions to wind flow / Wind shear	L. 気象理論
Name and explain the 3 types of icing	Clear: hard and glossy after drops freeze over airfoil / Rime: brittle and frostlike, small drops freezing rapidly / Mixed: hard and rough, drops vary in size or snow mixed with rain	L. 気象理論
What 3 ingredients must be present for a thunderstorm to develop?	Sufficient water vapor / Unstable lapse rate / Uplifting action to start the process in motion	L. 気象理論
What are the 3 stages of a thunderstorm?	Cumulus: initial updrafts / Mature: beginning of falling precipitation (most dangerous) / Dissipating: downdrafts as thunderstorm begins dissipating	L. 気象理論
What are isobars?	Lines on a weather chart of equal pressure	L. 気象理論
How long are TAFs valid for?	24 hour period	M. 気象情報
When are TAFs issued?	4 times daily	M. 気象情報
When are PIREPs issued?	Issued by the pilot for turbulence, visibility, icing	M. 気象情報
When are METARs issued?	55 minutes past the hour, usually only good for an hour	M. 気象情報
What are prognostic charts?	Issued 4 times daily, provides 12hr and 24hr forecast up to 24,000ft. Displays likely weather forecast for future time including temperature, wind, precipitation and fronts.	M. 気象情報
What is a surface analysis chart?	Depicts weather conditions from a few hours earlier. Developed every 3 hours. Shows atmospheric pressure, high/low pressure systems, frontal movements.	M. 気象情報
What is a weather depiction chart?	Computer generated chart based on METAR reports giving broad overview of flying conditions. Updated every 3 hours, valid only at time issued.	M. 気象情報
What is the difference between an AIRMET, a SIGMET, and a CONVECTIVE SIGMET?	SIGMET: severe/extreme conditions for ALL AIRCRAFT (icing, turbulence, dust storms, volcanic ash) / Convective SIGMET: issued for sufficiently strong, widespread, or embedded thunderstorms / AIRMET: less severe conditions hazardous to smaller aircraft	M. 気象情報
What are the 3 types of AIRMETs?	Sierra: IFR conditions or mountain obscurations / Tango: turbulence and surface winds greater than 30 knots / Zulu: icing conditions	M. 気象情報
What is a center weather advisory?	Issued by control centers, concerns both SIGMET and AIRMET conditions, relates to specific air route traffic control center areas	M. 気象情報
Define the term Ceiling	The lowest broken or overcast layer of clouds	M. 気象情報
Which is worst, SIGMET or AIRMET?	SIGMET - extreme conditions that relate to all aircraft	M. 気象情報
What 4 forces are always acting on an airplane?	Lift / Weight / Drag / Thrust	B. 空気力学
What is angle of attack?	The angle between the chord line and relative wind	B. 空気力学
What is relative wind?	The direction of airflow with respect to an airfoil. Parallel and opposite the path of the airfoil's movement.	B. 空気力学
What is Bernoulli's principle?	When a fluid's velocity increases, the pressure decreases. Produces lift as more pressure with slower moving air under the airfoil.	B. 空気力学
What is a stall?	Exceed critical angle of attack. Abrupt decrease in lift because there is no more airflow over the wings.	B. 空気力学
What factors affect stall speed?	Weight and center of gravity	B. 空気力学
Characteristics of forward and aft CG	Aft CG: less stable, higher cruise speed, lower stall speed. Forward CG: more stable, slower cruise speed, higher stall speed.	D. 重量と重心
What is P-factor?	Prop turns clockwise viewed from pilot's seat. Descending blade moves faster than ascending blade, making aircraft yaw left.	B. 空気力学
What are the 2 types of drag?	Parasite drag: all things that slow the aircraft (form, skin, interference drag) / Induced drag: byproduct of lift	B. 空気力学
